iter	Passed	Remaining
928	19560	64659
929	19577	64625
930	19593	64589
931	19611	64557
932	19628	64523
933	19644	64487
934	19660	64450
935	19677	64415
936	19696	64385
937	19712	64350
938	19729	64316
939	19746	64282
940	19765	64253
941	19790	64245
942	19816	64242
943	19834	64210
944	19851	64176
945	19867	64140
946	19886	64110
947	19903	64077
948	19922	64049
949	19940	64019
950	19957	63984
951	19973	63948
952	19988	63907
953	20004	63871
954	20021	63836
955	20037	63801
956	20054	63766
957	20070	63729
958	20086	63693
959	20103	63659
960	20119	63626
961	20136	63589
962	20154	63559
963	20172	63532
964	20190	63501
965	20207	63468
966	20224	63433
967	20242	63402
968	20260	63373
969	20277	63340
970	20295	63310
971	20312	63278
972	20331	63249
973	20361	63257
974	20386	63250
975	20407	63228
976	20424	63195
977	20443	63169
978	20460	63138
979	20478	63108
980	20497	63081
981	20514	63047
982	20532	63019
983	20552	62993
984	20570	62965
985	20589	62938
986	20609	62915
987	20627	62885
988	20646	62858
989	20664	62829
990	20685	62807
991	20703	62778
992	20723	62753
993	20742	62728
994	20761	62700
995	20779	62672
996	20802	62658
997	20832	62663
998	20868	62690
999	20899	62699
1000	20929	62704
1001	20957	62704
1002	20994	62733
1003	21015	62712
1004	21033	62683
1005	21053	62659
1006	21073	62633
1007	21091	62606
1008	21109	62574
1009	21126	62543
1010	21144	62514
1011	21162	62485
1012	21181	62458
1013	21201	62434
1014	21219	62403
1015	21237	62375
1016	21255	62344
1017	21272	62314
1018	21291	62285
1019	21310	62259
1020	21329	62232
1021	21355	62227
1022	21377	62209
1023	21397	62185
1024	21417	62164
1025	21436	62137
1026	21455	62108
1027	21476	62089
1028	21493	62056
1029	21509	62021
1030	21524	61985
1031	21541	61953
1032	21557	61918
1033	21574	61886
1034	21602	61884
1035	21630	61885
1036	21647	61852
1037	21663	61819
1038	21683	61795
1039	21702	61768
1040	21720	61739
1041	21739	61713
1042	21756	61683
1043	21776	61659
1044	21795	61632
1045	21811	61598
1046	21828	61566
1047	21845	61534
1048	21864	61507
1049	21883	61481
1050	21904	61461
1051	21927	61447
1052	21949	61429
1053	21967	61400
1054	21985	61372
1055	22006	61351
1056	22040	61366
1057	22065	61357
1058	22093	61358
1059	22117	61343
1060	22142	61334
1061	22161	61308
1062	22178	61277
1063	22197	61253
1064	22215	61221
1065	22232	61192
1066	22249	61160
1067	22266	61129
1068	22286	61104
1069	22304	61076
1070	22323	61049
1071	22341	61022
1072	22359	60993
1073	22376	60963
1074	22397	60942
1075	22415	60914
1076	22434	60886
1077	22451	60856
1078	22469	60828
1079	22487	60799
1080	22505	60771
1081	22523	60742
1082	22542	60716
1083	22562	60692
1084	22579	60663
1085	22598	60637
1086	22616	60608
1087	22635	60582
1088	22654	60556
1089	22675	60536
1090	22692	60506
1091	22710	60478
1092	22727	60446
1093	22744	60416
1094	22762	60387
1095	22779	60358
1096	22797	60329
1097	22815	60301
1098	22832	60270
1099	22849	60240
1100	22867	60210
1101	22885	60183
1102	22902	60154
1103	22922	60130
1104	22939	60100
1105	22957	60071
1106	22975	60043
1107	22993	60015
1108	23010	59985
1109	23028	59956
1110	23046	59929
1111	23064	59902
1112	23082	59872
1113	23099	59844
1114	23117	59815
1115	23135	59786
1116	23152	59756
1117	23172	59733
1118	23190	59706
1119	23209	59680
1120	23228	59656
1121	23247	59631
1122	23265	59603
1123	23282	59573
1124	23299	59542
1125	23316	59512
1126	23333	59482
1127	23350	59452
1128	23368	59424
1129	23384	59391
1130	23401	59361
1131	23418	59331
1132	23435	59301
1133	23453	59274
1134	23470	59245
1135	23487	59216
1136	23504	59185
1137	23521	59155
1138	23539	59127
1139	23558	59102
1140	23575	59071
1141	23592	59044
1142	23611	59018
1143	23630	58992
1144	23648	58967
1145	23667	58940
1146	23683	58909
1147	23700	58880
1148	23717	58850
1149	23735	58821
1150	23751	58791
1151	23769	58763
1152	23786	58735
1153	23804	58706
1154	23822	58678
1155	23841	58654
1156	23859	58628
1157	23879	58605
1158	23897	58579
1159	23915	58552
1160	23933	58524
1161	23951	58498
1162	23969	58471
1163	23987	58442
1164	24005	58416
1165	24023	58391
1166	24041	58362
1167	24057	58331
1168	24074	58301
1169	24091	58273
1170	24112	58254
1171	24132	58231
1172	24152	58208
1173	24172	58187
1174	24190	58161
1175	24210	58137
1176	24226	58107
1177	24245	58082
1178	24263	58055
1179	24281	58029
1180	24300	58003
1181	24322	57986
1182	24348	57979
1183	24366	57951
1184	24383	57923
1185	24399	57892
1186	24415	57861
1187	24431	57830
1188	24449	57803
1189	24464	57770
1190	24483	57744
1191	24500	57714
1192	24516	57684
1193	24532	57654
1194	24549	57624
1195	24566	57596
1196	24584	57569
1197	24601	57539
1198	24619	57513
1199	24636	57484
1200	24655	57460
1201	24671	57430
1202	24687	57398
1203	24703	57367
1204	24719	57336
1205	24735	57305
1206	24752	57276
1207	24771	57252
1208	24788	57224
1209	24805	57195
1210	24822	57166
1211	24843	57148
1212	24860	57120
1213	24877	57090
1214	24893	57060
1215	24909	57030
1216	24927	57002
1217	24944	56974
1218	24962	56947
1219	24978	56918
1220	24994	56888
1221	25012	56862
1222	25030	56834
1223	25047	56806
1224	25063	56777
1225	25081	56750
1226	25098	56721
1227	25122	56710
1228	25144	56691
1229	25161	56664
1230	25179	56638
1231	25198	56615
1232	25218	56592
1233	25236	56568
1234	25256	56546
1235	25276	56524
1236	25298	56508
1237	25317	56484
1238	25336	56459
1239	25354	56435
1240	25375	56415
1241	25402	56408
1242	25453	56456
1243	25474	56437
1244	25502	56434
1245	25541	56453
1246	25576	56465
1247	25603	56459
1248	25625	56440
1249	25647	56423
1250	25666	56400
1251	25688	56384
1252	25708	56361
1253	25726	56336
1254	25749	56320
1255	25766	56293
1256	25792	56282
1257	25818	56275
1258	25846	56271
1259	25878	56275
1260	25915	56291
1261	25947	56295
1262	25975	56291
1263	25996	56270
1264	26014	56244
1265	26034	56222
1266	26066	56227
1267	26093	56220
1268	26121	56216
1269	26153	56220
1270	26177	56205
1271	26218	56230
1272	26252	56236
1273	26289	56251
1274	26341	56297
1275	26373	56301
1276	26402	56298
1277	26429	56292
1278	26454	56281
1279	26479	56269
1280	26506	56261
1281	26526	56239
1282	26543	56211
1283	26561	56185
1284	26579	56157
1285	26595	56128
1286	26613	56101
1287	26636	56086
1288	26654	56059
1289	26671	56030
1290	26693	56012
1291	26712	55989
1292	26731	55964
1293	26750	55941
1294	26767	55913
1295	26784	55884
1296	26801	55856
1297	26819	55828
1298	26838	55804
1299	26857	55780
1300	26875	55753
1301	26892	55726
1302	26908	55696
1303	26928	55673
1304	26944	55644
1305	26962	55616
1306	26979	55590
1307	26998	55566
1308	27019	55545
1309	27038	55520
1310	27055	55493
1311	27072	55464
1312	27089	55437
1313	27107	55410
